document,page,matched_term,section_context
ind_prs17032025.pdf,5,Nifty 500,12) Nifty500 Multifactor MQVLv 50 The following company is being excluded: Sr. No. Company Name Symb
ind_prs17072026_1.pdf,1,Nifty 500,"PRESS RELEASE Mumbai, July 17, 2026 Replacement in indices The Index Maintenance Sub-Committee (Equi"
ind_prs17082023.pdf,2,Nifty 500,b) Nifty 500 The following companies are being excluded: Sr. No. Company Name Symbol 1 BASF India Lt
ind_prs17082023.pdf,3,Nifty 500,Sr. No. Company Name Symbol 12 Safari Industries (India) Ltd. SAFARI 13 Saregama India Ltd SAREGAMA 
ind_prs17082023.pdf,26,Nifty 500,Sr. No. Company Name Symbol 15 Proventus Agrocom Ltd. PROV 16 Rachana Infrastructure Ltd. RILINFRA 1
ind_prs17082023.pdf,27,Nifty 500,Index Existing Revised 25. Nifty Non-Cyclical Consumer data used for index data used for index 26. N
ind_prs17092019.pdf,1,Nifty 500,"Press Release September 17, 2019 Replacements in Indices The Index Maintenance Sub-Committee (IMSC) "
ind_prs17092019.pdf,2,Nifty 500,Sr. No. Company Name Symbol 1 TTK Prestige Ltd. TTKPRESTIG The following company is being included: 
ind_prs17092019_1.pdf,1,Nifty 500,"Press Release September 17, 2019 Replacements in Indices The Index Maintenance Sub-Committee (IMSC) "
ind_prs17102023.pdf,1,Nifty 500,"PRESS RELEASE Mumbai, October 17, 2023 Replacements in indices The Index Maintenance Sub-Committee ("
ind_prs17102023.pdf,3,Nifty 500,Sr. No. Company Name Symbol 4 Kirloskar Ferrous Industries Ltd. KIRLFER The following companies are 
ind_prs17102025.pdf,2,Nifty 500,Sr. No. Company Name Symbol 3 Zydus Lifesciences Ltd. ZYDUSLIFE No inclusion is being made in the in
ind_prs17112025_1.pdf,2,Nifty 500,B. Replacements on account of monthly review of Nifty Shariah indices: 1) Nifty500 Shariah The follo
ind_prs18022020.pdf,1,Nifty 500,"Press Release February 18, 2020 Revision in criteria and replacements in Indices The Index Maintenan"
ind_prs18022020.pdf,2,Nifty 500,The following company is being included: Sr. No. Company Name Symbol 1 Shree Cement Ltd. SHREECEM Th
ind_prs18022025.pdf,1,Nifty 500,"PRESS RELEASE Mumbai, February 18, 2025 Replacements in indices The Index Maintenance Sub-Committee "
ind_prs18112020.pdf,1,Nifty 500,"Press Release November 18, 2020 Replacement in Indices The Index Maintenance Sub-Committee (IMSC) of"
