period,policy,net_return_pct,gross_return_pct,max_drawdown_pct,sharpe,sortino,turnover,direct_costs,average_exposure,cash_utilization,completed_trades,average_holding_period,capacity_blocks,expired_queued_opportunities,top_1_signal_date_profit_share,top_5_signal_date_profit_share,top_10_signal_date_profit_share,top_strategy_profit_share,top_sector_profit_share,result_hash
FOLD_1,R0_181081,28.072645721757805,34.17657700000003,-23.859671331580202,1.0752335081213231,1.5077102951955672,46.74283875184206,61039.31278242219,686543.7288461538,0.6439610796910409,272,10.0,328,5116,0.04733733842571564,0.16812681136112764,0.29170218222040734,0.49577899809633563,0.9999999999999998,3d7d29d3753f3d9419b4111996f9e6c132b341d9d9483c3838ec498d82942b57
FOLD_1,R0_205019,12.240360794822935,17.924863333333253,-27.69843832465887,0.5572194297503162,0.7584732396097247,46.805013626948615,56845.025385103174,627320.2987751832,0.6385032633485824,272,10.014705882352942,327,5116,0.04363181151473596,0.17596136447206803,0.2872452984046042,0.5361291138087618,1.0,0a950649e4f42129f504d60adc4658ed5b9b2d97e46926c1b7bc5f66f16b6062
FOLD_1,R0_230003,34.80255628082902,40.763158512211085,-19.871647482006505,1.2918652866651574,1.7584961194508109,47.236146461515986,59606.02231382074,667974.9211491224,0.657141138163272,272,10.036764705882353,327,5116,0.11754464252243693,0.24415046924671446,0.3429505403203681,0.4503529283263639,1.0,3720553ed90415691a0877371d947a31fe4d021e71f2eadb3d2edcedaa6c40ba
FOLD_1,R0_256019,15.656931153858956,21.17135449999996,-20.192413088927275,0.7112289374529485,0.9863833896000009,45.49714510659448,55144.23346140994,626397.8949107142,0.6418300768678,264,10.306818181818182,327,5122,0.050406658582410765,0.189445583471162,0.29806510851854906,0.5746148535162935,1.0,5607c2d7450bd22d0b6d2fe17c41cacea608e46143c454d1420a06d3db74c295
FOLD_1,R0_280001,25.636294815192826,31.80110497524762,-19.967415753306728,1.0413900819366468,1.435078588212129,47.38886192092517,61648.10160054783,694565.0634510663,0.6522933651595401,272,10.014705882352942,326,5109,0.05272359850061915,0.18030859346507233,0.28199690397469623,0.5118263886861318,0.9999999999999999,92a15fda149ba00a5fbc3c92c8129eac253df3f640ee7b5f58458a559fd4f4ad
FOLD_1,R0_305023,30.710986400411254,36.67278350000001,-26.884009820504275,1.1598595773460545,1.6084340412110545,46.858216310314255,59617.97099588731,665150.5977156593,0.6440881242578457,272,10.003676470588236,328,5116,0.08677147947853282,0.1947032340565849,0.2877729504597605,0.5217166484404854,1.0,0af96b3d242cf4ed68bf9d354a8c661bf3d3b6611419e5ad17dd1ceb3838d10c
FOLD_1,R0_330017,38.29257130519355,44.513113500000024,-18.97880597862518,1.3333605155124149,1.9450254665462219,47.468770763247385,62205.421948064795,696438.9911538461,0.653536363339001,274,10.003649635036496,329,5115,0.05976839297258116,0.20768591903965114,0.33743613792839666,0.4677182053404615,1.0,56b8e745af9d612f03c41ac67685fec076b08e0fe335e052afda8cd8e2c201e5
FOLD_1,R0_355009,-0.2837622323846989,5.343114000000027,-24.631720926774136,0.07412559088616322,0.09596283955150897,47.83779022200611,56268.76232384749,620943.4014491758,0.6513976470662871,273,10.0,328,5115,0.036543006634859605,0.14896135680899272,0.2586588086685834,0.43839860223419674,1.0,e730ddf61b2b4333a4d66fcc544a1793467099f735bacd55b4acb104e24ad3ea
FOLD_1,R0_380041,28.580906266816932,34.39465174999994,-22.147945541442027,1.0974266197910367,1.615378853997001,46.991787434725914,58137.45483182992,645045.5821153846,0.6470276116760517,272,10.044117647058824,328,5116,0.04399503942287099,0.18813313126655196,0.32860390120732225,0.46685044172141316,1.0,f47c8fc740946ab59882f32bdf3c203f5c9f633adc9a1a46f3a0f58feab97c6a
FOLD_1,R0_405031,31.36301726424875,37.15902744059416,-16.663487925270772,1.2607785766451078,1.772323893197955,45.47147788643661,57960.10176345412,662005.2871161327,0.6435216374818886,264,10.31439393939394,327,5123,0.05987579225822345,0.19846634502238675,0.31259236409794844,0.5843986197184357,1.0,3e3e7bebc4e21e9873052ddf8bc426adc93e8f1c531509660a03443c355b3422
